,Curvature,Moment,NeutralAxis,MinorAxisMoment,Axial,Slope
0,6.666666666666667e-08,5.931073176955657,1585.4510983032521,5.684341886080802e-14,-180,0.0
1,6.799999999999999e-06,0.0,73991.87538732377,0.0,-180,-880852.4520231175
2,1.3533333333333333e-05,0.0,5422217.327683629,0.0,-180,0.0
3,2.0266666666666667e-05,0.0,199341044.03708786,0.0,-180,0.0
4,2.7e-05,0.0,4612919240.582163,0.0,-180,0.0
5,3.373333333333333e-05,0.0,75925828724.48947,0.0,-180,0.0
6,4.046666666666666e-05,0.0,958862165691.933,0.0,-180,0.0
7,4.7199999999999995e-05,0.0,9779530172271.525,0.0,-180,0.0
8,5.393333333333333e-05,0.0,83560506505572.69,0.0,-180,0.0
9,6.066666666666666e-05,0.0,614750883708376.1,0.0,-180,0.0
10,6.74e-05,0.0,3977258482649621.5,0.0,-180,0.0
11,7.413333333333332e-05,0.0,2.3009561611134572e+16,0.0,-180,0.0
12,8.086666666666666e-05,0.0,1.2065010338917862e+17,0.0,-180,0.0
13,8.759999999999999e-05,0.0,5.797608596822629e+17,0.0,-180,0.0
14,9.433333333333333e-05,0.0,2.6411060992575606e+18,0.0,-180,0.0
15,0.00010106666666666665,0.0,1.1965334270166163e+19,0.0,-180,0.0
16,0.00010779999999999999,0.0,5.39118528749344e+19,0.0,-180,0.0
17,0.00011453333333333333,0.0,2.415918597213125e+20,0.0,-180,0.0
18,0.00012126666666666666,0.0,1.0768046346533053e+21,0.0,-180,0.0
19,0.000128,0.0,4.773818089508424e+21,0.0,-180,0.0
20,0.00013473333333333335,0.0,2.1051676401609923e+22,0.0,-180,0.0
21,0.00014146666666666667,0.0,9.234570643698285e+22,0.0,-180,0.0
22,0.0001482,0.0,4.029703214900545e+23,0.0,-180,0.0
23,0.00015493333333333332,0.0,1.7493337520789216e+24,0.0,-180,0.0
24,0.00016166666666666668,0.0,7.554961938468898e+24,0.0,-180,0.0
25,0.0001684,0.0,3.2461487327690064e+25,0.0,-180,0.0
26,0.00017513333333333333,0.0,1.3877058643363903e+26,0.0,-180,0.0
27,0.00018186666666666668,0.0,5.9024928073536864e+26,0.0,-180,0.0
28,0.0001886,0.0,2.498034989702109e+27,0.0,-180,0.0
29,0.00019533333333333333,0.0,1.0519676083926412e+28,0.0,-180,0.0
30,0.00020206666666666665,0.0,4.408213600407613e+28,0.0,-180,0.0
31,0.0002088,0.0,1.838208380288386e+29,0.0,-180,0.0
32,0.00021553333333333333,0.0,7.628057623373589e+29,0.0,-180,0.0
33,0.00022226666666666666,0.0,3.150180163508363e+30,0.0,-180,0.0
34,0.000229,0.0,1.294714308408376e+31,0.0,-180,0.0
35,0.00023573333333333334,0.0,5.295956250151057e+31,0.0,-180,0.0
36,0.00024246666666666666,0.0,2.156062326085831e+32,0.0,-180,0.0
37,0.0002492,0.0,8.736533546345209e+32,0.0,-180,0.0
38,0.0002559333333333333,0.0,3.523645250357256e+33,0.0,-180,0.0
39,0.00026266666666666664,0.0,1.4146028231947497e+34,0.0,-180,0.0
40,0.0002694,0.0,5.653015050502738e+34,0.0,-180,0.0
41,0.0002761333333333333,0.0,2.2487587075071044e+35,0.0,-180,0.0
42,0.00028286666666666664,0.0,8.905049465411678e+35,0.0,-180,0.0
43,0.0002896,0.0,3.510541379044284e+36,0.0,-180,0.0
44,0.0002963333333333333,0.0,1.3777471279365151e+37,0.0,-180,0.0
45,0.00030306666666666664,0.0,5.383141838689345e+37,0.0,-180,0.0
46,0.00030979999999999994,0.0,2.0940455068517474e+38,0.0,-180,0.0
47,0.0003165333333333333,0.0,8.110233269319822e+38,0.0,-180,0.0
48,0.00032326666666666665,0.0,3.127449692169505e+39,0.0,-180,0.0
49,0.00032999999999999994,0.0,1.200797456393631e+40,0.0,-180,0.0
50,0.0003367333333333333,0.0,4.59075565488025e+40,0.0,-180,0.0
51,0.00034346666666666665,0.0,1.7476159877286884e+41,0.0,-180,0.0
52,0.00035019999999999995,0.0,6.624720279339221e+41,0.0,-180,0.0
53,0.0003569333333333333,0.0,2.5006963051496722e+42,0.0,-180,0.0
54,0.00036366666666666665,0.0,9.400225471886256e+42,0.0,-180,0.0
55,0.00037039999999999995,0.0,3.5189363980304447e+43,0.0,-180,0.0
56,0.0003771333333333333,0.0,1.3118741922446162e+44,0.0,-180,0.0
57,0.00038386666666666666,0.0,4.870709859037405e+44,0.0,-180,0.0
58,0.00039059999999999995,0.0,1.8010393014366615e+45,0.0,-180,0.0
59,0.0003973333333333333,0.0,6.632792627272759e+45,0.0,-180,0.0
60,0.0004040666666666666,0.0,2.43289449139269e+46,0.0,-180,0.0
61,0.00041079999999999996,0.0,8.888223569930711e+46,0.0,-180,0.0
62,0.0004175333333333333,0.0,3.234317167295774e+47,0.0,-180,0.0
63,0.0004242666666666666,0.0,1.1722957049288088e+48,0.0,-180,0.0
64,0.00043099999999999996,0.0,4.2324277796669643e+48,0.0,-180,0.0
65,0.0004377333333333333,0.0,1.5221257338833506e+49,0.0,-180,0.0
66,0.0004444666666666666,0.0,5.452940512684185e+49,0.0,-180,0.0
67,0.00045119999999999996,0.0,1.945990947712641e+50,0.0,-180,0.0
68,0.0004579333333333333,0.0,6.918168856928629e+50,0.0,-180,0.0
69,0.0004646666666666666,0.0,2.4501470334572347e+51,0.0,-180,0.0
70,0.00047139999999999997,0.0,8.64478195471919e+51,0.0,-180,0.0
71,0.00047813333333333326,0.0,3.038694282408797e+52,0.0,-180,0.0
72,0.0004848666666666666,0.0,1.064145728383965e+53,0.0,-180,0.0
73,0.0004916,0.0,3.7128405890129583e+53,0.0,-180,0.0
74,0.0004983333333333334,0.0,1.2906618476639188e+54,0.0,-180,0.0
75,0.0005050666666666667,0.0,4.470225094214955e+54,0.0,-180,0.0
76,0.0005118,0.0,1.5426476735984967e+55,0.0,-180,0.0
77,0.0005185333333333333,0.0,5.304373979918339e+55,0.0,-180,0.0
78,0.0005252666666666667,0.0,1.8173603925173537e+56,0.0,-180,0.0
79,0.000532,0.0,6.204359186022376e+56,0.0,-180,0.0
80,0.0005387333333333334,0.0,2.1106250277518954e+57,0.0,-180,0.0
81,0.0005454666666666666,0.0,7.15472183360557e+57,0.0,-180,0.0
82,0.0005522,0.0,2.416857789993745e+58,0.0,-180,0.0
83,0.0005589333333333333,0.0,8.135704832844846e+58,0.0,-180,0.0
84,0.0005656666666666667,0.0,2.7291914435847713e+59,0.0,-180,0.0
85,0.0005724,0.0,9.123814625659812e+59,0.0,-180,0.0
86,0.0005791333333333334,0.0,3.039704469564903e+60,0.0,-180,0.0
87,0.0005858666666666666,0.0,1.0092702481354473e+61,0.0,-180,0.0
88,0.0005926,0.0,3.339746033770711e+61,0.0,-180,0.0
89,0.0005993333333333333,0.0,1.101432435704684e+62,0.0,-180,0.0
90,0.0006060666666666667,0.0,3.620338968705509e+62,0.0,-180,0.0
91,0.0006128,0.0,1.186030870381305e+63,0.0,-180,0.0
92,0.0006195333333333333,0.0,3.872634330455288e+63,0.0,-180,0.0
93,0.0006262666666666666,0.0,1.260343741885389e+64,0.0,-180,0.0
94,0.000633,0.0,4.08838469904599e+64,0.0,-180,0.0
95,0.0006397333333333333,0.0,1.321912958143306e+65,0.0,-180,0.0
96,0.0006464666666666667,0.0,4.260400115355393e+65,0.0,-180,0.0
97,0.0006532,0.0,1.3686812850997421e+66,0.0,-180,0.0
98,0.0006599333333333333,0.0,4.382950881884237e+66,0.0,-180,0.0
99,0.0006666666666666666,0.0,1.3991074313115355e+67,0.0,-180,0.0
